panel,task_key,model,group,n,f1,ci_lo,ci_hi
T1 Frames — Pleura Sliding Macro F1,T1-frames,gemma-4-e4e,combined,37,0.31315924219150026,0.1551445959208056,0.45052529134996167
T1 Frames — Pleura Sliding Macro F1,T1-frames,gemma-4-e4e,adult,31,0.3416213416213416,0.17775659824046922,0.4987570685487351
T1 Frames — Pleura Sliding Macro F1,T1-frames,gemma-4-e4e,junior,6,0.1111111111111111,0.0,0.25
T1 Frames — Pleura Sliding Macro F1,T1-frames,gemma-4-12b,combined,37,0.1939655172413793,0.08977227471851128,0.2963807113122324
T1 Frames — Pleura Sliding Macro F1,T1-frames,gemma-4-12b,adult,31,0.1650793650793651,0.07142857142857142,0.2666761363636363
T1 Frames — Pleura Sliding Macro F1,T1-frames,gemma-4-12b,junior,6,0.16666666666666666,0.0,0.26666666666666666
T1 Frames — Pleura Sliding Macro F1,T1-frames,gemma-4-26b-a4b-it,combined,37,0.42166666666666663,0.20987654320987656,0.60002849002849
T1 Frames — Pleura Sliding Macro F1,T1-frames,gemma-4-26b-a4b-it,adult,31,0.3980066445182724,0.186046511627907,0.6099701332259472
T1 Frames — Pleura Sliding Macro F1,T1-frames,gemma-4-26b-a4b-it,junior,6,0.41269841269841273,0.09523809523809523,0.6296296296296297
T1 Frames — Pleura Sliding Macro F1,T1-frames,medgemma-27b,combined,37,0.27380952380952384,0.1364277608437786,0.4074291187739463
T1 Frames — Pleura Sliding Macro F1,T1-frames,medgemma-27b,adult,31,0.2688888888888889,0.12466931216931217,0.41288675109239625
T1 Frames — Pleura Sliding Macro F1,T1-frames,medgemma-27b,junior,6,0.1904761904761905,0.0,0.30303030303030304
T1 Frames — Pleura Sliding Macro F1,T1-frames,gemma-4-31b-it,combined,37,0.26060606060606056,0.15602836879432624,0.3951515151515152
T1 Frames — Pleura Sliding Macro F1,T1-frames,gemma-4-31b-it,adult,31,0.3003875968992248,0.17094017094017097,0.45436507936507936
T1 Frames — Pleura Sliding Macro F1,T1-frames,gemma-4-31b-it,junior,6,0.09523809523809525,0.0,0.2222222222222222
T1 Frames — Pleura Sliding Macro F1,T1-frames,qwen3.6-35b-a3b,combined,37,0.25789473684210523,0.1372549019607843,0.3701543375323861
T1 Frames — Pleura Sliding Macro F1,T1-frames,qwen3.6-35b-a3b,adult,31,0.20606060606060606,0.10666666666666667,0.31855418538886277
T1 Frames — Pleura Sliding Macro F1,T1-frames,qwen3.6-35b-a3b,junior,6,0.4000000000000001,0.09285714285714299,0.6190476190476191
T1 Frames — Pleura Sliding Macro F1,T1-frames,claude_sonnet-4.6,combined,37,0.41695702671312423,0.24019597519597521,0.5724313790074658
T1 Frames — Pleura Sliding Macro F1,T1-frames,claude_sonnet-4.6,adult,31,0.44145658263305326,0.23857174988753935,0.6231468968968967
T1 Frames — Pleura Sliding Macro F1,T1-frames,claude_sonnet-4.6,junior,6,0.27777777777777773,0.0,0.5555555555555555
T1 Frames — Pleura Sliding Macro F1,T1-frames,claude_opus-4.6,combined,37,0.27234927234927236,0.15339467879790458,0.3727618478693748
T1 Frames — Pleura Sliding Macro F1,T1-frames,claude_opus-4.6,adult,31,0.27174975562072334,0.1428251408090118,0.3838383838383838
T1 Frames — Pleura Sliding Macro F1,T1-frames,claude_opus-4.6,junior,6,0.27777777777777773,0.0,0.5523809523809523
T1 M-mode — Pleura Sliding Macro F1,T1-mmode,gemma-4-e4e,combined,37,0.13189964157706094,0.04305443548387096,0.21481127469274017
T1 M-mode — Pleura Sliding Macro F1,T1-mmode,gemma-4-e4e,adult,31,0.10564102564102563,0.02380952380952381,0.19843813593813578
T1 M-mode — Pleura Sliding Macro F1,T1-mmode,gemma-4-e4e,junior,6,0.26666666666666666,0.0,0.5240476190476178
T1 M-mode — Pleura Sliding Macro F1,T1-mmode,gemma-4-12b,combined,37,0.2454954954954955,0.13330225330225332,0.3501709164818921
T1 M-mode — Pleura Sliding Macro F1,T1-mmode,gemma-4-12b,adult,31,0.21309523809523812,0.11492610837438422,0.32055415434055795
T1 M-mode — Pleura Sliding Macro F1,T1-mmode,gemma-4-12b,junior,6,0.16666666666666666,0.0,0.26666666666666666
T1 M-mode — Pleura Sliding Macro F1,T1-mmode,gemma-4-26b-a4b-it,combined,37,0.4191919191919193,0.21214465375462405,0.6115205243928648
T1 M-mode — Pleura Sliding Macro F1,T1-mmode,gemma-4-26b-a4b-it,adult,31,0.4596491228070176,0.1976301247771836,0.6651023731844526
T1 M-mode — Pleura Sliding Macro F1,T1-mmode,gemma-4-26b-a4b-it,junior,6,0.38888888888888884,0.11071428571428574,0.6296296296296297
T1 M-mode — Pleura Sliding Macro F1,T1-mmode,medgemma-27b,combined,37,0.32932816537467696,0.18893387314439947,0.47409736753726517
T1 M-mode — Pleura Sliding Macro F1,T1-mmode,medgemma-27b,adult,31,0.33838383838383845,0.1929824561403509,0.5098917748917747
T1 M-mode — Pleura Sliding Macro F1,T1-mmode,medgemma-27b,junior,6,0.13333333333333333,0.0,0.2857142857142857
T1 M-mode — Pleura Sliding Macro F1,T1-mmode,gemma-4-31b-it,combined,37,0.3570487483530962,0.24206118493909193,0.4650393490729622
T1 M-mode — Pleura Sliding Macro F1,T1-mmode,gemma-4-31b-it,adult,31,0.35555555555555557,0.22965884641076456,0.47090643274853794
T1 M-mode — Pleura Sliding Macro F1,T1-mmode,gemma-4-31b-it,junior,6,0.35555555555555557,0.0,0.5833333333333334
T1 M-mode — Pleura Sliding Macro F1,T1-mmode,qwen3.6-35b-a3b,combined,37,0.23384615384615384,0.12569825236491905,0.33972133288006484
T1 M-mode — Pleura Sliding Macro F1,T1-mmode,qwen3.6-35b-a3b,adult,31,0.2323232323232323,0.11498898016429573,0.34848850827111694
