model_a,model_b,mean,std_across_tasks,min,max,n_tasks,K_T1-frames,n_pairs_T1-frames,K_T1-mmode,n_pairs_T1-mmode,K_T2,n_pairs_T2,K_T3,n_pairs_T3
gemma-4-e4e,gemma-4-12b,0.07921219048943541,0.11206357261444123,-0.0034029461025839865,0.24263158474279434,4,0.05977323986465289,25,0.017846883452878378,25,0.24263158474279434,25,-0.0034029461025839865,25
gemma-4-e4e,gemma-4-26b-a4b-it,0.11708864627225135,0.1710472652089007,-0.0030205957602125314,0.369576361593043,4,0.07131012129784126,25,0.03048869795833367,25,0.369576361593043,25,-0.0030205957602125314,25
gemma-4-e4e,medgemma-27b,0.06824237310659295,0.21816989567421408,-0.09535791385225974,0.3899374073646339,4,-0.09535791385225974,25,-0.006083421654843293,25,0.3899374073646339,25,-0.01552657943115904,25
gemma-4-e4e,gemma-4-31b-it,0.02748399664902802,0.055407851329639116,-0.020817587017661513,0.10532656847933261,4,0.026520131449652526,25,-0.020817587017661513,25,0.10532656847933261,25,-0.0010931263152115468,25
gemma-4-e4e,qwen3.6-35b-a3b,0.04170803530578725,0.08926954894004663,-0.04298000704857729,0.16409876014122676,4,0.04571338813049953,25,-0.04298000704857729,25,0.16409876014122676,25,0.0,25
gemma-4-e4e,claude_sonnet-4.6,0.0736738071560229,0.14838120664910176,-0.010433357731393431,0.2959199433004045,4,0.009208643055080514,25,-0.010433357731393431,25,0.2959199433004045,25,0.0,25
gemma-4-e4e,claude_opus-4.6,0.04583666789580439,0.0952109624370504,-0.018508696109622424,0.1871947576198046,4,0.014660610073035357,25,-0.018508696109622424,25,0.1871947576198046,25,0.0,25
gemma-4-12b,gemma-4-26b-a4b-it,0.11302089595176411,0.21391929199462897,-0.028787102566885693,0.4293064983715238,4,0.056742412063351386,25,-0.028787102566885693,25,0.4293064983715238,25,-0.005178224060933052,25
gemma-4-12b,medgemma-27b,0.051855409451383866,0.10574992524389581,-0.06578034489797652,0.18959646737920313,4,-0.06578034489797652,25,0.058177413549527185,25,0.18959646737920313,25,0.025428101774781657,25
gemma-4-12b,gemma-4-31b-it,0.1297392299670827,0.22262583113247775,-0.0271688814021087,0.45353234735411013,4,0.09777167797726237,25,-0.0271688814021087,25,0.45353234735411013,25,-0.005178224060933052,25
gemma-4-12b,qwen3.6-35b-a3b,0.09258775938272996,0.1385012532202128,0.0,0.2987529642578859,4,0.03253648551149929,25,0.03906158776153467,25,0.2987529642578859,25,0.0,25
gemma-4-12b,claude_sonnet-4.6,0.07346289648038867,0.15635531354801724,-0.02112128869361822,0.30728309306714885,4,-0.02112128869361822,25,0.00768978154802407,25,0.30728309306714885,25,0.0,25
gemma-4-12b,claude_opus-4.6,0.0804078842901809,0.18828693687227094,-0.046150800773899714,0.36060534886513307,4,-0.046150800773899714,25,0.00717698906949025,25,0.36060534886513307,25,0.0,25
gemma-4-26b-a4b-it,medgemma-27b,0.06332141809000477,0.1858748110510475,-0.05045686982679374,0.3399050141862002,4,-0.05045686982679374,25,-0.03989370414651677,25,0.3399050141862002,25,0.0037312321471293917,25
gemma-4-26b-a4b-it,gemma-4-31b-it,0.1401760712073183,0.15732746148507454,-0.0029239766081870632,0.3564045514881723,4,0.1502462158324156,25,0.056977494116872356,25,0.3564045514881723,25,-0.0029239766081870632,25
gemma-4-26b-a4b-it,qwen3.6-35b-a3b,0.11408830364395292,0.1591861803556838,0.0,0.34158291321585926,4,0.10647836061758202,25,0.008291940742370395,25,0.34158291321585926,25,0.0,25
gemma-4-26b-a4b-it,claude_sonnet-4.6,0.11932344220617734,0.20563356209179345,0.0,0.4268066687597012,4,0.011652838477147183,25,0.03883426158786099,25,0.4268066687597012,25,0.0,25
gemma-4-26b-a4b-it,claude_opus-4.6,0.12345169805471645,0.16069854794554161,0.0,0.3419067402142016,4,0.1466477099897754,25,0.005252342014888869,25,0.3419067402142016,25,0.0,25
medgemma-27b,gemma-4-31b-it,-0.013934044902069063,0.03280663382420452,-0.04855147940567996,0.027681613889468767,4,-0.04855147940567996,25,-0.02914016923464763,25,0.027681613889468767,25,-0.005726144857417427,25
medgemma-27b,qwen3.6-35b-a3b,0.016304604966154466,0.06552482057494044,-0.03611035253845407,0.11192672898948196,4,-0.03611035253845407,25,-0.010597956586410022,25,0.11192672898948196,25,0.0,25
medgemma-27b,claude_sonnet-4.6,0.07126458396484776,0.1326934246562438,-0.017091732889566932,0.2676892256122305,4,0.03446084313672748,25,-0.017091732889566932,25,0.2676892256122305,25,0.0,25
medgemma-27b,claude_opus-4.6,0.032327897523553306,0.05297952456977346,-0.0004421588707776303,0.1106078744408891,4,0.019145874524101766,25,-0.0004421588707776303,25,0.1106078744408891,25,0.0,25
gemma-4-31b-it,qwen3.6-35b-a3b,0.11854765215860949,0.15713713446089264,0.0,0.3491399387795947,4,0.07944999950940074,25,0.04560067034544254,25,0.3491399387795947,25,0.0,25
gemma-4-31b-it,claude_sonnet-4.6,0.10625224601821617,0.11964571895388446,0.0,0.23996141851761826,4,0.010668208160836423,25,0.17437935739441,25,0.23996141851761826,25,0.0,25
gemma-4-31b-it,claude_opus-4.6,0.1449783791327825,0.18714177123034156,-0.019340663006140103,0.36750271937751355,4,-0.019340663006140103,25,0.2317514601597566,25,0.36750271937751355,25,0.0,25
