model,task_mode,run_id,source_rep,input_mode,case_count,prediction_files,prediction_input_mode_fixes,path
claude_opus-4.6,t1_sliding_frames,20260529_203454,,frames,37,37,0,results_normalized/claude_opus-4.6/t1_sliding_frames/20260529_203454
claude_opus-4.6,t1_sliding_frames,20260529_204752,,frames,37,37,0,results_normalized/claude_opus-4.6/t1_sliding_frames/20260529_204752
claude_opus-4.6,t1_sliding_frames,20260529_210119,,frames,37,37,0,results_normalized/claude_opus-4.6/t1_sliding_frames/20260529_210119
claude_opus-4.6,t1_sliding_frames,20260529_211457,,frames,37,37,0,results_normalized/claude_opus-4.6/t1_sliding_frames/20260529_211457
claude_opus-4.6,t1_sliding_frames,20260529_212806,,frames,37,37,0,results_normalized/claude_opus-4.6/t1_sliding_frames/20260529_212806
claude_opus-4.6,t1_sliding_mmode,20260529_203500,,mmode,37,37,0,results_normalized/claude_opus-4.6/t1_sliding_mmode/20260529_203500
claude_opus-4.6,t1_sliding_mmode,20260529_210717,,mmode,37,37,0,results_normalized/claude_opus-4.6/t1_sliding_mmode/20260529_210717
claude_opus-4.6,t1_sliding_mmode,20260529_213914,,mmode,37,37,0,results_normalized/claude_opus-4.6/t1_sliding_mmode/20260529_213914
claude_opus-4.6,t1_sliding_mmode,20260529_221139,,mmode,37,37,0,results_normalized/claude_opus-4.6/t1_sliding_mmode/20260529_221139
claude_opus-4.6,t1_sliding_mmode,20260529_224045,,mmode,37,37,0,results_normalized/claude_opus-4.6/t1_sliding_mmode/20260529_224045
claude_opus-4.6,t2_anterior_frames,20260609_171146,,frames,86,86,0,results_normalized/claude_opus-4.6/t2_anterior_frames/20260609_171146
claude_opus-4.6,t2_anterior_frames,20260609_175450,,frames,86,86,0,results_normalized/claude_opus-4.6/t2_anterior_frames/20260609_175450
claude_opus-4.6,t2_anterior_frames,20260609_183631,,frames,86,86,0,results_normalized/claude_opus-4.6/t2_anterior_frames/20260609_183631
claude_opus-4.6,t2_anterior_frames,20260609_191637,,frames,86,86,0,results_normalized/claude_opus-4.6/t2_anterior_frames/20260609_191637
claude_opus-4.6,t2_anterior_frames,20260609_195612,,frames,86,86,0,results_normalized/claude_opus-4.6/t2_anterior_frames/20260609_195612
claude_opus-4.6,t3_posterior_frames,20260609_171159,,frames,39,39,0,results_normalized/claude_opus-4.6/t3_posterior_frames/20260609_171159
claude_opus-4.6,t3_posterior_frames,20260609_172254,,frames,39,39,0,results_normalized/claude_opus-4.6/t3_posterior_frames/20260609_172254
claude_opus-4.6,t3_posterior_frames,20260609_173323,,frames,39,39,0,results_normalized/claude_opus-4.6/t3_posterior_frames/20260609_173323
claude_opus-4.6,t3_posterior_frames,20260609_174356,,frames,39,39,0,results_normalized/claude_opus-4.6/t3_posterior_frames/20260609_174356
claude_opus-4.6,t3_posterior_frames,20260609_175423,,frames,39,39,0,results_normalized/claude_opus-4.6/t3_posterior_frames/20260609_175423
claude_sonnet-4.6,t1_sliding_frames,20260529_203505,,frames,37,37,0,results_normalized/claude_sonnet-4.6/t1_sliding_frames/20260529_203505
claude_sonnet-4.6,t1_sliding_frames,20260529_204931,,frames,37,37,0,results_normalized/claude_sonnet-4.6/t1_sliding_frames/20260529_204931
claude_sonnet-4.6,t1_sliding_frames,20260529_210358,,frames,37,37,0,results_normalized/claude_sonnet-4.6/t1_sliding_frames/20260529_210358
claude_sonnet-4.6,t1_sliding_frames,20260529_211747,,frames,37,37,0,results_normalized/claude_sonnet-4.6/t1_sliding_frames/20260529_211747
claude_sonnet-4.6,t1_sliding_frames,20260529_213224,,frames,37,37,0,results_normalized/claude_sonnet-4.6/t1_sliding_frames/20260529_213224
claude_sonnet-4.6,t1_sliding_mmode,20260529_203512,,mmode,37,37,0,results_normalized/claude_sonnet-4.6/t1_sliding_mmode/20260529_203512
claude_sonnet-4.6,t1_sliding_mmode,20260529_210121,,mmode,37,37,0,results_normalized/claude_sonnet-4.6/t1_sliding_mmode/20260529_210121
claude_sonnet-4.6,t1_sliding_mmode,20260529_213303,,mmode,37,37,0,results_normalized/claude_sonnet-4.6/t1_sliding_mmode/20260529_213303
claude_sonnet-4.6,t1_sliding_mmode,20260529_220404,,mmode,37,37,0,results_normalized/claude_sonnet-4.6/t1_sliding_mmode/20260529_220404
claude_sonnet-4.6,t1_sliding_mmode,20260529_223427,,mmode,37,37,0,results_normalized/claude_sonnet-4.6/t1_sliding_mmode/20260529_223427
claude_sonnet-4.6,t2_anterior_frames,20260609_171152,,frames,86,86,0,results_normalized/claude_sonnet-4.6/t2_anterior_frames/20260609_171152
claude_sonnet-4.6,t2_anterior_frames,20260609_175121,,frames,86,86,0,results_normalized/claude_sonnet-4.6/t2_anterior_frames/20260609_175121
claude_sonnet-4.6,t2_anterior_frames,20260609_183021,,frames,86,86,0,results_normalized/claude_sonnet-4.6/t2_anterior_frames/20260609_183021
claude_sonnet-4.6,t2_anterior_frames,20260609_191127,,frames,86,86,0,results_normalized/claude_sonnet-4.6/t2_anterior_frames/20260609_191127
claude_sonnet-4.6,t2_anterior_frames,20260609_195137,,frames,86,86,0,results_normalized/claude_sonnet-4.6/t2_anterior_frames/20260609_195137
claude_sonnet-4.6,t3_posterior_frames,20260609_171205,,frames,39,39,0,results_normalized/claude_sonnet-4.6/t3_posterior_frames/20260609_171205
claude_sonnet-4.6,t3_posterior_frames,20260609_172314,,frames,39,39,0,results_normalized/claude_sonnet-4.6/t3_posterior_frames/20260609_172314
claude_sonnet-4.6,t3_posterior_frames,20260609_173358,,frames,39,39,0,results_normalized/claude_sonnet-4.6/t3_posterior_frames/20260609_173358
claude_sonnet-4.6,t3_posterior_frames,20260609_174449,,frames,39,39,0,results_normalized/claude_sonnet-4.6/t3_posterior_frames/20260609_174449
claude_sonnet-4.6,t3_posterior_frames,20260609_175611,,frames,39,39,0,results_normalized/claude_sonnet-4.6/t3_posterior_frames/20260609_175611
gemma-4-12b,t1_sliding_frames,20260609_214641,rep1,frames,38,38,0,results_normalized/gemma-4-12b/t1_sliding_frames/20260609_214641
gemma-4-12b,t1_sliding_frames,20260609_215750,rep2,frames,38,38,0,results_normalized/gemma-4-12b/t1_sliding_frames/20260609_215750
gemma-4-12b,t1_sliding_frames,20260609_221052,rep3,frames,38,38,0,results_normalized/gemma-4-12b/t1_sliding_frames/20260609_221052
gemma-4-12b,t1_sliding_frames,20260609_222820,rep4,frames,38,38,0,results_normalized/gemma-4-12b/t1_sliding_frames/20260609_222820
